    no LCB LMS LBM  LP    LM   LAM  Type            Iden
1  100 129  64  95 17.5 11.50 13.8  1           bull-dog
2  101 154  74  76 20.0 14.20 16.5  1           bull-dog
3  102 170  87  71 17.9 12.30 15.9  1          chien-ind
4  103 188  94  73 19.5 13.30 14.8  1          chien-ind
5  104 161  81  55 17.1 12.10 13.0  1          chien-ind
6  105 164  90  58 17.5 12.70 14.7  1          chien-ind
7  106 203 109  65 20.7 14.00 16.8  1         b-allemand
8  107 178  97  57 17.3 12.80 14.3  1            levrier
9  108 212 114  65 20.5 14.30 15.5  1            levrier
10 109 221 123  62 21.2 15.20 17.0  1            levrier
11 110 183  97  52 19.3 12.90 13.5  1             colley
12 111 212 112  65 19.7 14.20 16.0  1           doberman
13 112 220 117  70 19.8 14.30 15.6  1             setter
14 113 216 113  72 20.5 14.40 17.7  1     chien-pyrenees
15 114 216 112  75 19.6 14.00 16.4  1          bas-rouge
16 115 205 110  68 20.8 14.10 16.4  1         b-allemand
17 116 228 122  78 22.5 14.20 17.8  1             briard
18 117 218 112  65 20.3 13.90 17.0  1            levrier
19 118 190  93  78 19.7 13.20 14.0  1        bull-mastif
20 119 212 111  73 20.5 13.70 16.6  1             briard
21 120 201 105  70 19.8 14.30 15.9  1             setter
22 121 196 106  67 18.5 12.60 14.2  1             setter
23 122 158  71  71 16.7 12.50 13.3  1              boxer
24 123 255 126  86 21.4 15.00 18.0  1     dogue-allemand
25 124 234 113  83 21.3 14.80 17.0  1     dogue-allemand
26 125 205 105  70 19.0 12.40 14.9  1          gronendal
27 126 186  97  62 19.0 13.20 14.2  1         b-allemand
28 127 241 119  87 21.0 14.70 18.3  1     dogue-allemand
29 128 220 111  88 22.5 15.40 18.0  1         st-bernard
30 129 242 120  85 19.9 15.30 17.6  1     dogue-allemand
31 200 199 105  73 23.4 15.00 19.1  2               loup
32 201 227 117  77 25.0 15.30 18.6  2               loup
33 202 228 122  82 24.7 15.00 18.5  2               loup
34 203 232 123  83 25.3 16.80 19.6  2               loup
35 204 231 121  78 23.5 16.50 19.6  2               loup
36 205 215 118  74 25.7 15.71 19.0  2               loup
37 206 184 100  69 23.3 15.80 19.7  2               loup
38 207 175  94  73 22.2 14.80 17.0  2               loup
39 208 239 124  77 25.0 16.80 27.0  2               loup
40 209 203 109  70 23.3 15.00 18.7  2               loup
41 210 226 118  72 26.0 16.00 19.4  2               loup
42 211 226 119  77 26.5 16.80 19.3  2               loup
43 300 210 103  72 20.5 14.00 16.7  J             jussac
